"Estado","Ano","ImpostoSobreProduto","Pib","RendaPerCapita","RendimentoMedio","TaxaDesemprego","TotalAdmissao","TotalDemissao","TaxaInadimplencia","QtdInadimplentes","TotalHomem","TotalMulher","H_0 a 1","H_1 a 4","H_5 a 9","H_10 a 14","H_15 a 19","H_20 a 29","H_30 a 39","H_40 a 49","H_50 a 59","H_60 a 69","H_70 a 79","H_80 +","M_0 a 1","M_1 a 4","M_5 a 9","M_10 a 14","M_15 a 19","M_20 a 29","M_30 a 39","M_40 a 49","M_50 a 59","M_60 a 69","M_70 a 79","M_80 +","Automovel","Caminhao","CaminhaoTrator","Caminhonete","Camioneta","Ciclomotor","Microonibus","Motocicleta","Motoneta"
"Sergipe","2017","4,203,112","39,177,470"," $ 834.00 "," $ 1,707.75 ","14.3%","80947","83374","43.0%","654662","1105494","1184169","12250","56014","79999","105657","96873","217520","182871","155229","96526","61228","28210","13117","12793","52728","77683","101774","99503","227527","199503","169522","111542","69552","40317","21725","318733","20949","2489","41315","15192","23178","3409","241509","41482"
"Tocantins","2017","3,471,934","34,221,709"," $ 937.00 "," $ 1,893.75 ","11.7%","63728","62354","48.4%","483857","784730","766888","11487","47375","67688","78349","74483","147294","121746","96399","64541","41632","23742","9994","11163","47123","63670","74775","73879","147802","123374","94327","61997","37540","21750","9488","202852","22169","4748","61835","10321","1882","1610","225355","91845"
"Acre","2018","1,403,364","14,007,396"," $ 909.00 "," $ 1,787.50 ","13.5%","21837","22887","53.54%","262080","422409","421340","7024","31526","45484","50398","40991","79838","65164","43862","29264","16609","8129","4120","6734","30044","42530","49133","41719","80762","66837","44223","29895","17000","8378","4085","87005","7206","925","26711","4289","614","366","117656","25632"
"Alagoas","2018","5,929,126","55,633,578"," $ 714.00 "," $ 1,535.25 ","17.0%","110079","109997","43.94%","956250","1626896","1847587","1020","18937","56302","107837","63255","367785","291972","294523","195105","138181","71560","20419","2859","17657","52655","119169","82565","389613","375432","309100","223992","137556","94275","42714","355700","21591","2485","55008","21538","3639","6667","288847","40279"
"Amapá","2018","679,544","15,294,414"," $ 857.00 "," $ 2,056.25 ","20.2%","20589","19244","62.41%","294755","406940","407040","7170","29440","41393","47739","42809","80692","64199","44028","27409","13284","6466","2311","7287","27701","39741","46819","42348","82758","67386","43174","26453","13103","7006","3264","80325","4130","366","21860","4518","950","458","64681","12643"
"Amazonas","2018","11,647,062","93,914,632"," $ 791.00 "," $ 1,722.25 ","13.9%","123110","119335","55.73%","1350983","2080973","2051142","36529","146600","207437","234863","199535","400141","332658","233926","155035","79625","38079","16545","35437","141025","197110","225992","197305","397478","335623","224051","152693","80204","42417","21807","393187","19994","3164","87082","27345","2013","3484","257183","57667"
"Bahia","2018","33,113,781","285,859,620"," $ 841.00 "," $ 1,609.25 ","17.0%","567636","546897","41.12%","4317044","7481164","9053771","50073","234384","445857","525835","409830","1427070","1378079","1174532","841381","539167","308091","146865","38867","210239","362843","589013","488399","1509896","1434213","1246322","941038","556667","1487183","189091","1829141","118290","21294","358554","118914","16623","29254","1293820","192733"
"Ceará","2018","17,894,184","153,877,302"," $ 855.00 "," $ 1,544.00 ","11.3%","376722","357097","40.08%","2443301","4426453","4663010","55224","223605","314969","427706","434739","871314","668103","586943","369478","255549","139842","78981","53677","213766","302797","407395","428145","891557","705654","633803","434011","296899","183864","111442","1142960","73796","8749","193683","61312","8502","12347","1377096","166362"
"Distrito Federal","2018","28,799,131","275,265,274"," $ 2,460.00 "," $ 4,176.75 ","12.7%","269100","255672","46.97%","994418","1482622","1619582","17038","72042","107660","126228","110063","289917","280302","219161","138050","72415","36805","12941","16998","70243","103116","121220","105976","303840","315748","246085","170720","95808","47948","21880","1284710","23986","3389","125823","87185","1232","5896","189662","19618"
"Espírito Santo","2018","11,355,980","86,949,040"," R$ 1,295.00 "," $ 2,144.75 ","11.5%","321037","307029","46.65%","1331051","2001225","2063260","26058","99976","145527","169516","155374","383931","328426","266706","219184","119274","61090","26163","23574","99604","139156","164569","150201","380686","341266","276726","237681","133198","75451","41148","958812","73467","18004","169677","59085","1504","8248","444653","107412"
